Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
1	4	1	2	1	1	2	1	4	3	2	2	GB
4	3	4	3	3	1	1	3	1	2	2	2	CA
1	3	4	2	2	1	2	2	2	4	3	1	US
1	3	3	1	2	3	4	4	4	4	2	2	SG
1	1	1	2	4	1	1	2	1	2	3	2	US
2	4	1	3	3	3	2	4	4	3	4	2	US
4	4	1	2	2	4	1	4	1	4	4	2	US
2	3	3	2	1	1	3	1	1	2	1	2	PH
3	2	3	3	3	3	2	3	1	4	1	3	US
4	3	4	4	4	4	4	2	4	2	4	2	ID
1	2	2	3	1	1	1	1	1	3	1	1	IE
3	3	1	3	4	4	3	4	1	2	1	1	AU
1	3	4	4	4	3	1	4	3	3	4	1	US
1	3	3	2	3	1	4	1	1	4	2	3	AU
3	3	4	1	3	3	4	2	3	2	3	4	US
4	1	2	2	2	2	2	2	4	4	2	2	US
1	4	1	2	1	1	2	1	4	3	2	2	GB
3	4	3	4	1	1	4	4	3	4	4	1	SG
4	1	3	1	4	3	4	3	4	2	3	2	BD
3	4	3	3	3	4	4	1	3	4	3	1	US
2	2	4	3	3	4	3	4	3	4	1	1	GU
1	2	4	4	2	3	4	1	1	1	1	1	US
1	4	4	4	1	1	1	1	1	3	1	1	PH
4	1	1	2	4	4	2	2	4	4	3	1	GB
3	2	2	1	3	1	2	2	4	4	3	4	IT
3	2	4	2	4	3	2	4	1	4	4	1	CA
2	3	1	3	2	3	2	2	4	1	2	4	US
3	2	3	2	1	2	2	3	1	1	4	2	DK
4	3	2	1	4	4	2	4	1	2	4	2	BE
4	1	1	1	2	4	4	4	1	4	4	2	AT
4	2	2	4	2	3	4	4	4	4	4	2	US
3	1	4	2	4	3	3	2	3	4	3	1	US
4	2	4	1	4	4	2	4	4	4	4	2	US
4	1	4	4	2	4	2	4	4	4	4	4	CA
4	2	1	2	1	1	1	1	1	1	2	1	IN
4	1	1	4	2	4	1	4	4	4	4	4	US
4	2	4	1	4	4	2	4	4	4	4	2	US
4	2	4	4	2	1	1	3	1	4	4	1	PH
1	2	3	3	1	1	4	1	1	3	1	1	CA
3	1	4	2	2	4	4	4	4	2	4	2	US
1	3	1	2	2	3	4	2	1	4	3	2	US
4	2	1	2	2	4	2	4	4	2	4	2	US
1	4	4	4	2	4	4	4	1	2	4	2	IN
4	2	4	2	2	1	2	2	1	4	4	2	NO
1	3	1	4	3	1	3	3	3	4	3	3	AU
4	4	3	4	2	4	3	4	4	1	1	1	PH
2	2	2	2	1	2	2	2	1	2	1	1	IN
3	4	1	1	3	2	2	2	2	2	4	2	SK
2	3	1	2	4	1	2	2	4	2	3	2	AE
3	3	4	2	4	1	3	2	4	4	4	1	AE
1	1	1	1	1	3	1	3	1	3	3	1	AU
1	1	4	2	2	4	4	1	4	3	2	2	US
4	1	4	4	2	4	2	4	4	2	4	2	CA
2	3	1	2	1	1	3	1	4	1	3	1	CA
4	4	2	4	3	4	2	4	3	1	4	1	AU
2	2	4	2	2	3	2	4	2	2	2	2	GB
3	2	2	1	1	1	3	3	3	1	1	1	PH
1	1	1	1	1	3	4	3	1	2	3	1	AU
4	1	2	1	2	3	2	3	4	4	4	2	AU
3	4	4	2	2	4	4	2	1	4	3	2	US
4	1	4	4	2	4	2	4	4	2	4	2	CA
2	2	2	2	2	3	1	3	2	2	3	1	EG
4	3	1	3	3	4	4	4	3	1	4	3	AU
